MS,MS Name,CCI,Programme Title,Fund,Category of region,Year,Planned EU amount,N+3 De-commitment Amount,Net Planned EU Amount,Cumulative initial pre-financing,Cumulative additional initial pre-financing,Recovery of additional initial pre-financing,Net additional initial pre-financing,Total net initial pre-financing,Cumulative annual pre-financing,Annual pre-financing covered by expenditure,Recovery of annual pre-financing,Net annual pre-financing,Cumulative interim payments,Recovery of expenses,Net interim payments,Total net payments,EU payment rate,EU Payment Rate on Planned EU Amount
TC,Interreg,2014TC16RFCB003,Interreg V-A - Slovakia-Austria,ERDF,,2019,"75,892,681.00",0.00,"75,892,681.00","2,276,780.43",0.00,0.00,0.00,"2,276,780.43","7,778,999.81",0.00,"5,597,085.23","2,181,914.58","1,817,074.06",0.00,"1,817,074.06","6,275,769.07",8.27,8.27
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE,,2017,"19,324,776.00",0.00,"19,324,776.00","3,994,185.50",0.00,0.00,0.00,"3,994,185.50",0.00,0.00,0.00,0.00,"8,412.24",0.00,"8,412.24","4,002,597.74",20.71,20.71
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE-contribution from ERDF,,2017,"19,324,776.00",0.00,"19,324,776.00","3,994,185.50",0.00,0.00,0.00,"3,994,185.50",0.00,0.00,0.00,0.00,"8,412.25",0.00,"8,412.25","4,002,597.75",20.71,20.71
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE-contribution from ERDF,,2018,"19,324,776.00",0.00,"19,324,776.00","3,994,185.50",0.00,0.00,0.00,"3,994,185.50",0.00,0.00,0.00,0.00,"8,412.25",0.00,"8,412.25","4,002,597.75",20.71,20.71
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE-contribution from ERDF,,2016,"19,324,776.00",0.00,"19,324,776.00","3,398,255.00",0.00,0.00,0.00,"3,398,255.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,398,255.00",17.58,17.58
TC,Interreg,2014TC16RFCB009,Interreg V-A - Germany/Bayern-Czech Republic,ERDF,,2019,"103,375,149.00",0.00,"103,375,149.00","3,101,254.47",0.00,0.00,0.00,"3,101,254.47","10,595,952.77",0.00,"7,623,917.24","2,972,035.53","12,711,399.79",0.00,"12,711,399.79","18,784,689.79",18.17,18.17
TC,Interreg,2014TC16RFCB030,Interreg V-A - Slovakia-Czech Republic,ERDF,,2019,"90,139,463.00",0.00,"90,139,463.00","2,704,183.89",0.00,0.00,0.00,"2,704,183.89","9,239,294.95",0.00,"6,647,785.39","2,591,509.56","1,998,398.98",0.00,"1,998,398.98","7,294,092.43",8.09,8.09
TC,Interreg,2014TC16I5CB009,IPA CBC Greece – The  former Yugoslav Republic of Macedonia,IPAE,,2018,"19,324,776.00",0.00,"19,324,776.00","3,994,185.50",0.00,0.00,0.00,"3,994,185.50",0.00,0.00,0.00,0.00,"8,412.24",0.00,"8,412.24","4,002,597.74",20.71,20.71
HR,Croatia,2014HR05FMOP001,FEAD - Croatia,FEAD,,2019,"36,628,990.00",0.00,"36,628,990.00","4,029,188.90",0.00,0.00,0.00,"4,029,188.90",0.00,0.00,0.00,0.00,"9,749,565.35",0.00,"9,749,565.35","13,778,754.25",37.62,37.62
HR,Croatia,2014HR06RDNP001,Croatia - National Rural Development,EAFRD,,2019,"2,026,222,500.00",0.00,"2,026,222,500.00","60,786,675.00",0.00,0.00,0.00,"60,786,675.00",0.00,0.00,0.00,0.00,"690,163,832.05",0.00,"690,163,832.05","750,950,507.05",37.06,37.06
TC,Interreg,2014TC16RFCB011,Interreg V-A - Germany/Brandenburg-Poland,ERDF,,2019,"100,152,579.00",0.00,"100,152,579.00","3,004,577.37",0.00,0.00,0.00,"3,004,577.37","7,386,252.69",0.00,"7,386,252.69",0.00,"11,183,249.02",0.00,"11,183,249.02","14,187,826.39",14.17,14.17
DE,Germany,2014DE05FSOP001,FEAD - Germany,FEAD,,2019,"78,893,211.00",0.00,"78,893,211.00","8,678,253.21",0.00,0.00,0.00,"8,678,253.21",0.00,0.00,0.00,0.00,"25,253,754.96",0.00,"25,253,754.96","33,932,008.17",43.01,43.01
ES,Spain,2014ES06RDRP008,Castilla y León  - Rural Development,EAFRD,,2019,"969,189,286.00",0.00,"969,189,286.00","33,921,625.01",0.00,0.00,0.00,"33,921,625.01",0.00,0.00,0.00,0.00,"368,850,343.33",0.00,"368,850,343.33","402,771,968.34",41.56,41.56
LT,Lithuania,2014LT06RDNP001,Lithuania - National Rural Development,EAFRD,,2019,"1,663,166,240.00",0.00,"1,663,166,240.00","49,894,987.20",0.00,0.00,0.00,"49,894,987.20",0.00,0.00,0.00,0.00,"806,912,494.40",0.00,"806,912,494.40","856,807,481.60",51.52,51.52
LV,Latvia,2014LV05FMOP001,FEAD - Latvia,FEAD,,2019,"41,024,469.00",0.00,"41,024,469.00","4,512,691.59",0.00,0.00,0.00,"4,512,691.59",0.00,0.00,0.00,0.00,"15,870,076.91",0.00,"15,870,076.91","20,382,768.50",49.68,49.68
MT,Malta,2014MT05FMOP001,FEAD - Malta,FEAD,,2019,"3,944,660.00",0.00,"3,944,660.00","433,912.60",0.00,0.00,0.00,"433,912.60",0.00,0.00,0.00,0.00,"1,604,503.82",0.00,"1,604,503.82","2,038,416.42",51.68,51.68
FR,France,2014FR06RDRP082,Rhône-Alpes - Rural Development,EAFRD,,2019,"1,134,912,781.00",0.00,"1,134,912,781.00","33,996,383.43",0.00,0.00,0.00,"33,996,383.43",0.00,0.00,0.00,0.00,"626,151,123.20",0.00,"626,151,123.20","660,147,506.63",58.17,58.17
ES,Spain,2014ES16RFOP017,Madrid  - ERDF,ERDF,More developed,2019,"249,844,457.00",0.00,"249,844,457.00","8,138,181.00",0.00,0.00,0.00,"8,138,181.00","23,833,244.35",0.00,"17,148,309.96","6,684,934.39","10,768,555.77",0.00,"10,768,555.77","25,591,671.16",10.24,10.24
ES,Spain,2014ES16RFOP004,Aragón  - ERDF,ERDF,More developed,2019,"117,164,270.00",0.00,"117,164,270.00","3,909,185.91",0.00,0.00,0.00,"3,909,185.91","11,380,794.46",0.00,"8,237,213.17","3,143,581.29","21,941,806.32",0.00,"21,941,806.32","28,994,573.52",24.75,24.75
ES,Spain,2014ES16RFOP012,Ceuta  - ERDF,ERDF,More developed,2019,"45,377,141.00",0.00,"45,377,141.00","1,436,832.25",0.00,0.00,0.00,"1,436,832.25","4,293,958.52",0.00,"3,069,700.55","1,224,257.97","4,807,883.33",0.00,"4,807,883.33","7,468,973.55",16.46,16.46
ES,Spain,2014ES16RFOP013,Valenciana - ERDF,ERDF,More developed,2019,"590,255,000.00",0.00,"590,255,000.00","18,562,017.22",0.00,0.00,0.00,"18,562,017.22","55,538,316.33",0.00,"39,688,793.26","15,849,523.07","99,881,927.94",0.00,"99,881,927.94","134,293,468.23",22.75,22.75
ES,Spain,2014ES16RFOP018,Melilla  - ERDF,ERDF,Transition,2019,"52,664,377.00",0.00,"52,664,377.00","1,609,293.14",0.00,0.00,0.00,"1,609,293.14","4,911,194.86",0.00,"3,487,940.08","1,423,254.78","10,040,487.35",0.00,"10,040,487.35","13,073,035.27",24.82,24.82
ES,Spain,2014ES16RFOP009,Castilla y León  - ERDF,ERDF,More developed,2019,"334,938,613.00",0.00,"334,938,613.00","10,312,365.91",0.00,0.00,0.00,"10,312,365.91","31,286,309.11",0.00,"22,260,468.10","9,025,841.01","38,810,627.96",0.00,"38,810,627.96","58,148,834.88",17.36,17.36
CZ,Czechia,2014CZ06RDNP001,Czech Republic - National Rural Development,EAFRD,,2019,"2,305,673,996.00",0.00,"2,305,673,996.00","69,170,219.88",0.00,0.00,0.00,"69,170,219.88",0.00,0.00,0.00,0.00,"1,209,490,947.80",0.00,"1,209,490,947.80","1,278,661,167.68",55.46,55.46
CZ,Czechia,2014CZ16RFOP002,Integrated Regional Programme - CZ - ERDF,ERDF,More developed,2019,"24,149,612.00",0.00,"24,149,612.00","681,019.05",0.00,0.00,0.00,"681,019.05","1,674,171.83",0.00,"1,674,171.83",0.00,"259,257.61",0.00,"259,257.61","940,276.66",3.89,3.89
DE,Germany,2014DE16M2OP001,Niedersachsen - ERDF/ESF,ERDF,More developed,2019,"463,407,390.00",0.00,"463,407,390.00","13,068,088.38",0.00,0.00,0.00,"13,068,088.38","32,125,717.27",0.00,"32,125,717.27",0.00,"66,458,574.75","1,197,358.27","65,261,216.48","78,329,304.86",16.90,16.90
IT,Italy,2014IT06RDRP019,Campania - Rural Development,EAFRD,,2019,"1,096,589,000.00",0.00,"1,096,589,000.00","33,328,050.00",0.00,0.00,0.00,"33,328,050.00",0.00,0.00,0.00,0.00,"301,059,562.60",0.00,"301,059,562.60","334,387,612.60",30.49,30.49
BE,Belgium,2014BE06RDRP001,Flanders - Rural Development,EAFRD,,2019,"383,765,881.00",0.00,"383,765,881.00","11,512,976.43",0.00,0.00,0.00,"11,512,976.43",0.00,0.00,0.00,0.00,"106,921,275.42",0.00,"106,921,275.42","118,434,251.85",30.86,30.86
FR,France,2014FR06RDRP006,Mayotte - Rural Development,EAFRD,,2019,"60,000,000.00",0.00,"60,000,000.00","1,800,000.00",0.00,0.00,0.00,"1,800,000.00",0.00,0.00,0.00,0.00,"10,747,259.01",0.00,"10,747,259.01","12,547,259.01",20.91,20.91
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,YEI,,2019,"2,723,321,500.00",0.00,"2,723,321,500.00","66,044,742.06","273,613,931.35","273,613,931.35",0.00,"66,044,742.06","162,164,750.40",0.00,"87,273,409.14","74,891,341.26","854,696,763.67",0.00,"854,696,763.67","995,632,846.99",36.56,36.56
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,Transition,2019,"310,214,777.00",0.00,"310,214,777.00","6,165,929.21",0.00,0.00,0.00,"6,165,929.21","24,323,945.58",0.00,"7,972,788.68","16,351,156.90","83,767,376.45",0.00,"83,767,376.45","106,284,462.56",34.26,34.26
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,YEI Specific Allocation,,2019,"1,361,660,750.00",0.00,"1,361,660,750.00","33,022,371.03","273,613,931.35","273,613,931.35",0.00,"33,022,371.03","81,082,375.20",0.00,"43,636,704.57","37,445,670.63","527,507,320.03",0.00,"527,507,320.03","597,975,361.69",43.92,43.92
ES,Spain,2014ES05SFOP014,Canarias - ESF,ESF,Transition,2019,"191,286,213.00",0.00,"191,286,213.00","5,343,743.34",0.00,0.00,0.00,"5,343,743.34","11,260,030.60",0.00,"7,061,375.12","4,198,655.48","16,850,779.24",0.00,"16,850,779.24","26,393,178.06",13.80,13.80
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,More developed,2019,"148,372,955.00",0.00,"148,372,955.00","8,926,713.25",0.00,0.00,0.00,"8,926,713.25","18,047,440.20",0.00,"11,982,567.69","6,064,872.51","121,776,943.40",0.00,"121,776,943.40","136,768,529.16",92.18,92.18
PT,Portugal,2014PT06RDRP002,Continental Portugal - Rural Development,EAFRD,,2019,"3,583,728,823.00",0.00,"3,583,728,823.00","125,430,508.81",0.00,0.00,0.00,"125,430,508.81",0.00,0.00,0.00,0.00,"1,962,278,751.02",0.00,"1,962,278,751.02","2,087,709,259.83",58.26,58.26
RO,Romania,2014RO06RDNP001,Romania - National Rural Development,EAFRD,,2019,"8,127,996,402.00",0.00,"8,127,996,402.00","325,119,856.08",0.00,0.00,0.00,"325,119,856.08",0.00,0.00,0.00,0.00,"3,699,297,045.02",0.00,"3,699,297,045.02","4,024,416,901.10",49.51,49.51
PT,Portugal,2014PT06RDRP001,Azores - Rural Development,EAFRD,,2019,"295,282,051.00",0.00,"295,282,051.00","10,334,871.79",0.00,0.00,0.00,"10,334,871.79",0.00,0.00,0.00,0.00,"165,835,566.80",0.00,"165,835,566.80","176,170,438.59",59.66,59.66
IT,Italy,2014IT14MFOP001,Maritime and Fisheries - Italy,EMFF,,2019,"537,262,559.00",0.00,"537,262,559.00","15,150,804.15",0.00,0.00,0.00,"15,150,804.15","37,245,726.88",0.00,"37,245,726.88",0.00,"89,871,922.32","14,990,950.33","74,880,971.99","90,031,776.14",16.76,16.76
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,YEI ESF Matching Component,,2019,"1,361,660,750.00",0.00,"1,361,660,750.00","33,022,371.03",0.00,0.00,0.00,"33,022,371.03","81,082,375.20",0.00,"43,636,704.57","37,445,670.63","327,189,443.64",0.00,"327,189,443.64","397,657,485.30",29.20,29.20
ES,Spain,2014ES05M9OP001,Youth Employment - ES - ESF/YEI,ESF,Less developed,2019,"26,862,048.00",0.00,"26,862,048.00","489,626.24",0.00,0.00,0.00,"489,626.24","1,866,205.47",0.00,"635,498.69","1,230,706.78","6,685,242.69",0.00,"6,685,242.69","8,405,575.71",31.29,31.29
SI,Slovenia,2014SI06RDNP001,Slovenia - National Rural Development,EAFRD,,2019,"837,849,803.00",0.00,"837,849,803.00","25,135,494.09",0.00,0.00,0.00,"25,135,494.09",0.00,0.00,0.00,0.00,"347,692,513.45",0.00,"347,692,513.45","372,828,007.54",44.50,44.50
HU,Hungary,2014HU14MFOP001,Maritime and Fisheries - Hungary,EMFF,,2019,"39,096,293.00",0.00,"39,096,293.00","1,102,515.48",0.00,0.00,0.00,"1,102,515.48","2,710,350.55",0.00,"2,710,350.55",0.00,"5,077,979.15",0.00,"5,077,979.15","6,180,494.63",15.81,15.81
PL,Poland,2014PL06RDNP001,Poland - National Rural Development,EAFRD,,2019,"8,697,556,814.00",0.00,"8,697,556,814.00","260,926,704.42",0.00,0.00,0.00,"260,926,704.42",0.00,0.00,0.00,0.00,"2,675,968,502.83",0.00,"2,675,968,502.83","2,936,895,207.25",33.77,33.77
RO,Romania,2015RO16RFSM001,SME Initiative - RO - ERDF,ERDF,More developed,2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"380,319.12",0.00,0.00,"380,319.12","11,586,733.01",0.00,"11,586,733.01","11,967,052.13",,
RO,Romania,2014RO16RFOP002,Integrated Regional Programme - RO - ERDF,ERDF,More developed,2017,"342,808,513.00",0.00,"342,808,513.00","13,386,365.24",0.00,0.00,0.00,"13,386,365.24","15,477,984.81",0.00,"6,693,182.62","8,784,802.19","750,133.73",0.00,"750,133.73","22,921,301.16",6.69,6.69
RO,Romania,2014RO16RFOP002,Integrated Regional Programme - RO - ERDF,ERDF,Less developed,2018,"6,503,361,701.00",0.00,"6,503,361,701.00","238,209,460.60",0.00,0.00,0.00,"238,209,460.60","441,229,012.10",0.00,"275,429,688.82","165,799,323.28","417,410,794.56",0.00,"417,410,794.56","821,419,578.44",12.63,12.63
RO,Romania,2014RO16RFOP002,Integrated Regional Programme - RO - ERDF,ERDF,More developed,2018,"356,638,299.00",0.00,"356,638,299.00","13,386,365.24",0.00,0.00,0.00,"13,386,365.24","24,300,791.80",0.00,"15,477,984.81","8,822,806.99","53,876,044.70",0.00,"53,876,044.70","76,085,216.93",21.33,21.33
RO,Romania,2014RO16RFOP002,Integrated Regional Programme - RO - ERDF,ERDF,Less developed,2017,"6,257,191,487.00",0.00,"6,257,191,487.00","238,209,460.60",0.00,0.00,0.00,"238,209,460.60","275,429,688.82",0.00,"119,104,730.30","156,324,958.52","23,522,346.29",0.00,"23,522,346.29","418,056,765.41",6.68,6.68
RO,Romania,2015RO16RFSM001,SME Initiative - RO - ERDF,ERDF,More developed,2017,"13,829,786.00",0.00,"13,829,786.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,586,733.01",0.00,"11,586,733.01","11,586,733.01",83.78,83.78
RO,Romania,2015RO16RFSM001,SME Initiative - RO - ERDF,ERDF,Less developed,2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,369,680.89",0.00,0.00,"2,369,680.89","72,194,266.99",0.00,"72,194,266.99","74,563,947.88",,
RO,Romania,2015RO16RFSM001,SME Initiative - RO - ERDF,ERDF,Less developed,2017,"86,170,214.00",0.00,"86,170,214.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"72,194,266.99",0.00,"72,194,266.99","72,194,266.99",83.78,83.78
RO,Romania,2014RO16RFOP002,Integrated Regional Programme - RO - ERDF,ERDF,Less developed,2019,"6,503,361,701.00",0.00,"6,503,361,701.00","238,209,460.60",0.00,0.00,0.00,"238,209,460.60","441,229,012.10",0.00,"275,429,688.82","165,799,323.28","682,176,353.62",0.00,"682,176,353.62","1,086,185,137.50",16.70,16.70
RO,Romania,2015RO16RFSM001,SME Initiative - RO - ERDF,ERDF,More developed,2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"380,319.12",0.00,0.00,"380,319.12","11,586,733.01",0.00,"11,586,733.01","11,967,052.13",,
BG,Bulgaria,2014BG06RDNP001,Bulgaria - National Rural Development,EAFRD,,2019,"2,366,716,966.00",0.00,"2,366,716,966.00","71,001,508.98",0.00,0.00,0.00,"71,001,508.98",0.00,0.00,0.00,0.00,"662,101,916.00",0.00,"662,101,916.00","733,103,424.98",30.98,30.98
RO,Romania,2015RO16RFSM001,SME Initiative - RO - ERDF,ERDF,Less developed,2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,369,680.89",0.00,0.00,"2,369,680.89","72,194,266.99",0.00,"72,194,266.99","74,563,947.88",,
HU,Hungary,2014HU06RDNP001,Hungary - National Rural Development,EAFRD,,2019,"3,430,664,493.00",0.00,"3,430,664,493.00","102,919,934.79",0.00,0.00,0.00,"102,919,934.79",0.00,0.00,0.00,0.00,"1,106,128,455.21",0.00,"1,106,128,455.21","1,209,048,390.00",35.24,35.24
RO,Romania,2014RO16RFOP002,Integrated Regional Programme - RO - ERDF,ERDF,More developed,2019,"356,638,299.00",0.00,"356,638,299.00","13,386,365.24",0.00,0.00,0.00,"13,386,365.24","24,300,791.80",0.00,"15,477,984.81","8,822,806.99","68,539,681.38",0.00,"68,539,681.38","90,748,853.61",25.45,25.45
BG,Bulgaria,2014BG05FMOP001,FEAD - Bulgaria,FEAD,,2019,"104,815,264.00",0.00,"104,815,264.00","11,529,679.04",0.00,0.00,0.00,"11,529,679.04",0.00,0.00,0.00,0.00,"56,236,705.33",0.00,"56,236,705.33","67,766,384.37",64.65,64.65
DE,Germany,2014DE06RDRP021,Schleswig-Holstein - Rural Development,EAFRD,,2019,"419,478,164.00",0.00,"419,478,164.00","12,584,344.92",0.00,0.00,0.00,"12,584,344.92",0.00,0.00,0.00,0.00,"195,415,906.86",0.00,"195,415,906.86","208,000,251.78",49.59,49.59
TC,Interreg,2014TC16M4TN003,Interreg V-B - Balkan-Mediterranean,IPAE,,2019,"5,126,138.00",0.00,"5,126,138.00","153,784.14",0.00,0.00,0.00,"153,784.14","378,052.66",0.00,"378,052.66",0.00,"430,922.08",0.00,"430,922.08","584,706.22",11.41,11.41
UK,United Kingdom,2014UK06RDRP004,Wales - Rural Development,EAFRD,,2019,"651,590,163.00",0.00,"651,590,163.00","19,295,704.89",0.00,0.00,0.00,"19,295,704.89",0.00,0.00,0.00,0.00,"249,287,947.34",0.00,"249,287,947.34","268,583,652.23",41.22,41.22
IT,Italy,2014IT06RDRP015,Molise - Rural Development,EAFRD,,2019,"99,720,000.00",0.00,"99,720,000.00","3,030,750.00",0.00,0.00,0.00,"3,030,750.00",0.00,0.00,0.00,0.00,"36,099,974.22",0.00,"36,099,974.22","39,130,724.22",39.24,39.24
TC,Interreg,2014TC16M4TN003,Interreg V-B - Balkan-Mediterranean,ERDF,,2019,"28,330,108.00",0.00,"28,330,108.00","849,903.24",0.00,0.00,0.00,"849,903.24","2,089,345.49",0.00,"2,089,345.49",0.00,"3,888,008.11",0.00,"3,888,008.11","4,737,911.35",16.72,16.72
IT,Italy,2014IT06RDRP008,Marche - Rural Development,EAFRD,,2019,"300,638,000.00",0.00,"300,638,000.00","6,959,070.00",0.00,0.00,0.00,"6,959,070.00",0.00,0.00,0.00,0.00,"54,409,126.59",0.00,"54,409,126.59","61,368,196.59",20.41,20.41
