Country,CCI_code,Programme_Short_Title,programme_version,Fund-All,Fund-Sole,NUTS_(2010)_code,NUTS_title
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE344,Arr. Neufchâteau
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE310,Arr. Nivelles
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE353,Arr. Philippeville
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE325,Arr. Soignies
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE326,Arr. Thuin
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE327,Arr. Tournai
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE335,Arr. Verviers - communes francophones
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE345,Arr. Virton
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE334,Arr. Waremme
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE336,Bezirk Verviers - Deutschsprachige Gemeinschaft
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE31,Prov. Brabant Wallon
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE32,Prov. Hainaut
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE33,Prov. Liège
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE34,Prov. Luxembourg (BE)
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE35,Prov. Namur
BE,2014BE16RFOP003,Wallonia - ERDF,3,ERDF,ERDF,BE3,RÉGION WALLONNE
BG,2014BG05M2OP001,Science and Education for Smart Growth  - ESF/ERDF,1.3,ERDF+ESF,ERDF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG05M2OP001,Science and Education for Smart Growth  - ESF/ERDF,1.3,ERDF+ESF,ESF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG05M9OP001,Human Resources Development  - ESF/YEI,2,ESF+YEI,ESF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG05M9OP001,Human Resources Development  - ESF/YEI,2,ESF+YEI,YEI,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG05SFOP001,Good Governance  - ESF,1.2,ESF,ESF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG16M1OP001,Transport and transport infrastructure - ERDF/CF,3.1,ERDF+CF,CF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG16M1OP001,Transport and transport infrastructure - ERDF/CF,3.1,ERDF+CF,ERDF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG16M1OP002,Environment - ERDF/CF,2.2,ERDF+CF,CF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG16M1OP002,Environment - ERDF/CF,2.2,ERDF+CF,ERDF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,ERDF,ERDF,BG32,Северен централен (Severen tsentralen)
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,ERDF,ERDF,BG31,Северозападен (Severozapaden)
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,ERDF,ERDF,BG33,Североизточен (Severoiztochen)
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,ERDF,ERDF,BG41,Югозападен (Yugozapaden)
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,ERDF,ERDF,BG34,Югоизточен (Yugoiztochen)
BG,2014BG16RFOP001,Regions in Growth - ERDF,3,ERDF,ERDF,BG42,Южен централен (Yuzhen tsentralen)
BG,2014BG16RFOP002,Innovations and Competitiveness - ERDF,2.1,ERDF,ERDF,BG,БЪЛГАРИЯ (BULGARIA)
BG,2015BG16RFSM001,SME Initiative - ERDF,1.1,ERDF,ERDF,BG,БЪЛГАРИЯ (BULGARIA)
CY,2014CY05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",3,ESF+YEI,ESF,CY,ΚΥΠΡΟΣ (KÝPROS)
CY,2014CY05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",3,ESF+YEI,YEI,CY,ΚΥΠΡΟΣ (KÝPROS)
CY,2014CY16M1OP001,Competitiveness and sustainable development - ERDF/CF,4.1,ERDF+CF,CF,CY,ΚΥΠΡΟΣ (KÝPROS)
CY,2014CY16M1OP001,Competitiveness and sustainable development - ERDF/CF,4.1,ERDF+CF,ERDF,CY,ΚΥΠΡΟΣ (KÝPROS)
CZ,2014CZ05M2OP001,Research Development and Education - ESF/ERDF,1.3,ERDF+ESF,ERDF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ05M2OP001,Research Development and Education - ESF/ERDF,1.3,ERDF+ESF,ESF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ0,ČESKÁ REPUBLIKA
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ06,Jihovýchod
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ03,Jihozápad
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ08,Moravskoslezsko
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ01,Praha
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ05,Severovýchod
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ04,Severozápad
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ02,Střední Čechy
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,ESF,CZ07,Střední Morava
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ0,ČESKÁ REPUBLIKA
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ06,Jihovýchod
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ03,Jihozápad
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ08,Moravskoslezsko
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ01,Praha
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ05,Severovýchod
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ04,Severozápad
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ02,Střední Čechy
CZ,2014CZ05M9OP001,"Employment, Human Capital and Social Cohesion - ESF/YEI",1.3,ESF+YEI,YEI,CZ07,Střední Morava
CZ,2014CZ16CFTA001,Technical Assistance - CF,3,CF,CF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,ERDF+CF,CF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ16M1OP001,Transport - ERDF/CF,6,ERDF+CF,ERDF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ16M1OP002,Environment  - ERDF/CF,3,ERDF+CF,CF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ16M1OP002,Environment  - ERDF/CF,3,ERDF+CF,ERDF,CZ,ČESKÁ REPUBLIKA
CZ,2014CZ16M2OP001,Prague Growth Pole - ERDF/ESF,3,ERDF+ESF,ERDF,CZ010,Hlavní město Praha
CZ,2014CZ16M2OP001,Prague Growth Pole - ERDF/ESF,3,ERDF+ESF,ESF,CZ010,Hlavní město Praha
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ06,Jihovýchod
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ03,Jihozápad
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ08,Moravskoslezsko
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ05,Severovýchod
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ04,Severozápad
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ02,Střední Čechy
CZ,2014CZ16RFOP001,Enterprise and Innovation for Competitiveness - ERDF,4,ERDF,ERDF,CZ07,Střední Morava
CZ,2014CZ16RFOP002,Integrated Regional Programme - ERDF,3.1,ERDF,ERDF,CZ,ČESKÁ REPUBLIKA
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF05,Dithmarschen
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF01,"Flensburg, Kreisfreie Stadt"
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF06,Herzogtum Lauenburg
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF02,"Kiel, Kreisfreie Stadt"
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF03,"Lübeck, Kreisfreie Stadt"
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF04,"Neumünster, Kreisfreie Stadt"
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF07,Nordfriesland
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF08,Ostholstein
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF09,Pinneberg
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0A,Plön
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0B,Rendsburg-Eckernförde
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0C,Schleswig-Flensburg
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0,Schleswig-Holstein
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0D,Segeberg
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0E,Steinburg
DE,2014DE05SFOP001,Schleswig-Holstein  - ESF,1.1,ESF,ESF,DEF0F,Stormarn
DE,2014DE05SFOP002,Federal Germany - ESF,1.4,ESF,ESF,DE,DEUTSCHLAND 
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE145,Alb-Donau-Kreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE121,"Baden-Baden, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE1,BADEN-WÜRTTEMBERG
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE146,Biberach
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE112,Böblingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE147,Bodenseekreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE132,Breisgau-Hochschwarzwald
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE12A,Calw
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE133,Emmendingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE12B,Enzkreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE113,Esslingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE13,Freiburg
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE131,"Freiburg im Breisgau, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE12C,Freudenstadt
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE114,Göppingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE125,"Heidelberg, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE11C,Heidenheim
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE118,"Heilbronn, Landkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE117,"Heilbronn, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE119,Hohenlohekreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE12,Karlsruhe
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE123,"Karlsruhe, Landkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE122,"Karlsruhe, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE138,Konstanz
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE139,Lörrach
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE115,Ludwigsburg
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE11B,Main-Tauber-Kreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE126,"Mannheim, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE127,Neckar-Odenwald-Kreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE134,Ortenaukreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE11D,Ostalbkreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE129,"Pforzheim, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE124,Rastatt
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE148,Ravensburg
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE116,Rems-Murr-Kreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE141,Reutlingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE128,Rhein-Neckar-Kreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE135,Rottweil
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE11A,Schwäbisch Hall
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE136,Schwarzwald-Baar-Kreis
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE149,Sigmaringen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE11,Stuttgart
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE111,"Stuttgart, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE14,Tübingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE142,"Tübingen, Landkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE137,Tuttlingen
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE144,"Ulm, Stadtkreis"
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE13A,Waldshut
DE,2014DE05SFOP003,Baden-Württemberg - ESF,1.3,ESF,ESF,DE143,Zollernalbkreis
DE,2014DE05SFOP004,Bayern - ESF,1.1,ESF,ESF,DE2,BAYERN
DE,2014DE05SFOP005,Berlin - ESF,1.1,ESF,ESF,DE30,Berlin
DE,2014DE05SFOP005,Berlin - ESF,1.1,ESF,ESF,DE3,BERLIN
DE,2014DE05SFOP006,Brandenburg - ESF,1.3,ESF,ESF,DE4,BRANDENBURG
DE,2014DE05SFOP007,Hamburg - ESF,1.1,ESF,ESF,DE60,Hamburg
DE,2014DE05SFOP007,Hamburg - ESF,1.1,ESF,ESF,DE6,HAMBURG
DE,2014DE05SFOP008,Hessen - ESF,1.2,ESF,ESF,DE7,HESSEN
DE,2014DE05SFOP009,Mecklenburg-Vorpommern - ESF,1.6,ESF,ESF,DE8,MECKLENBURG-VORPOMMERN
DE,2014DE05SFOP010,Nordrhein-Westfalen - ESF,1.4,ESF,ESF,DEA,NORDRHEIN-WESTFALEN
DE,2014DE05SFOP011,Saarland - ESF,1.3,ESF,ESF,DEC0,Saarland
DE,2014DE05SFOP012,Sachsen - ESF,1.3,ESF,ESF,DED4,Chemnitz
DE,2014DE05SFOP012,Sachsen - ESF,1.3,ESF,ESF,DED2,Dresden
DE,2014DE05SFOP012,Sachsen - ESF,1.3,ESF,ESF,DED5,Leipzig
DE,2014DE05SFOP013,Sachsen-Anhalt - ESF,1.3,ESF,ESF,DEE0,Sachsen-Anhalt
DE,2014DE05SFOP014,Thüringen - ESF,1.2,ESF,ESF,DEG,THÜRINGEN
DE,2014DE05SFOP015,Rheinland-Pfalz - ESF,2,ESF,ESF,DEB,RHEINLAND-PFALZ
DE,2014DE05SFOP016,Bremen - ESF,1.2,ESF,ESF,DE50,Bremen
DE,2014DE05SFOP016,Bremen - ESF,1.2,ESF,ESF,DE501,"Bremen, Kreisfreie Stadt"
DE,2014DE05SFOP016,Bremen - ESF,1.2,ESF,ESF,DE502,"Bremerhaven, Kreisfreie Stadt"
DE,2014DE16M2OP001,Niedersachsen - ERDF/ESF,3,ERDF+ESF,ERDF,DE9,NIEDERSACHSEN
DE,2014DE16M2OP001,Niedersachsen - ERDF/ESF,3,ERDF+ESF,ESF,DE9,NIEDERSACHSEN
DE,2014DE16RFOP001,Baden-Württemberg - ERDF,1.2,ERDF,ERDF,DE1,BADEN-WÜRTTEMBERG
DE,2014DE16RFOP002,Bayern - ERDF,2,ERDF,ERDF,DE2,BAYERN
DE,2014DE16RFOP003,Berlin - ERDF,1.2,ERDF,ERDF,DE300,Berlin
DE,2014DE16RFOP004,Brandenburg - ERDF,2,ERDF,ERDF,DE4,BRANDENBURG
DE,2014DE16RFOP005,Bremen - ERDF,1.2,ERDF,ERDF,DE5,BREMEN
DE,2014DE16RFOP006,Hamburg  - ERDF,1.3,ERDF,ERDF,DE6,HAMBURG
DE,2014DE16RFOP007,Hessen  - ERDF,1.2,ERDF,ERDF,DE7,HESSEN
DE,2014DE16RFOP008,Mecklenburg-Vorpommern  - ERDF,2,ERDF,ERDF,DE80,Mecklenburg-Vorpommern
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA5,Arnsberg
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA41,"Bielefeld, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA51,"Bochum, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA22,"Bonn, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA34,Borken
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA31,"Bottrop, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA35,Coesfeld
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA4,Detmold
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA52,"Dortmund, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA12,"Duisburg, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA26,Düren
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA11,"Düsseldorf, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA56,Ennepe-Ruhr-Kreis
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA13,"Essen, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA28,Euskirchen
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA32,"Gelsenkirchen, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA42,Gütersloh
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA53,"Hagen, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA54,"Hamm, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA29,Heinsberg
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA43,Herford
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA55,"Herne, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA57,Hochsauerlandkreis
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA44,Höxter
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA1B,Kleve
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA2,Köln
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA23,"Köln, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA14,"Krefeld, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA24,"Leverkusen, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA45,Lippe
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA58,Märkischer Kreis
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA1C,Mettmann
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA46,Minden-Lübbecke
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA15,"Mönchengladbach, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA16,"Mülheim an der Ruhr, Kreisfreie Stadt"
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA3,Münster
DE,2014DE16RFOP009,Nordrhein-Westfalen - ERDF,1.2,ERDF,ERDF,DEA33,"Münster, Kreisfreie Stadt"
